Park,Rating out of 10,Name,Scoreable Coaster Quantity
Six Flags Magic Mountain,6.9,Apocalypse,16
Six Flags Magic Mountain,7.5,Batman The Ride,16
Six Flags Magic Mountain,8.7,Full Throttle,16
Six Flags Magic Mountain,3.1,Gold Rusher,16
Six Flags Magic Mountain,7,Goliath,16
Six Flags Magic Mountain,5.5,New Revolution,16
Six Flags Magic Mountain,5.1,Ninja,16
Six Flags Magic Mountain,6.9,Riddler's Revenge,16
Six Flags Magic Mountain,1.3,Road Runner Express,16
Six Flags Magic Mountain,6.7,Scream,16
Six Flags Magic Mountain,6.6,Superman Escape from Krypton,16
Six Flags Magic Mountain,9.4,Tatsu,16
Six Flags Magic Mountain,9.8,Twisted Colossus,16
Six Flags Magic Mountain,3.8,Viper,16
Six Flags Magic Mountain,7.2,West Coast Racers,16
Six Flags Magic Mountain,9.7,X2,16
Canada's Wonderland,5.2,Backlot Stunt Coaster,16
Canada's Wonderland,0.8,Bat,16
Canada's Wonderland,9.3,Behemoth,16
Canada's Wonderland,1.6,Dragon Fyre,16
Canada's Wonderland,0.2,Flight Deck,16
Canada's Wonderland,1.9,Fly,16
Canada's Wonderland,1.9,Ghoster Coaster,16
Canada's Wonderland,9.4,Leviathan,16
Canada's Wonderland,3.1,Mighty Canadian Minebuster,16
Canada's Wonderland,1,Silver Streak,16
Canada's Wonderland,2.2,Thunder Run,16
Canada's Wonderland,0.1,Time Warp,16
Canada's Wonderland,5.8,Vortex,16
Canada's Wonderland,2.3,Wild Beast,16
Canada's Wonderland,3.8,Wonder Mountain's Guardian,16
Canada's Wonderland,9,Yukon Striker,16
Cedar Point,5.9,Blue Streak,16
Cedar Point,2.2,Cedar Creek Mine Ride,16
Cedar Point,1.8,Corkscrew,16
Cedar Point,8.5,GateKeeper,16
Cedar Point,6.2,Gemini Blue,16
Cedar Point,5.9,Gemini Red,16
Cedar Point,3.9,Iron Dragon,16
Cedar Point,8,Magnum XL-200,16
Cedar Point,9.9,Maverick,16
Cedar Point,9.6,Millennium Force,16
Cedar Point,8.7,Raptor,16
Cedar Point,6.6,Rougarou,16
Cedar Point,10,Steel Vengeance,16
Cedar Point,9.6,Top Thrill Dragster,16
Cedar Point,7.7,Valravn,16
Cedar Point,1.5,Woodstock Express,16
Six Flags Great America,5.5,American Eagle,14
Six Flags Great America,7.6,Batman The Ride,14
Six Flags Great America,3.8,Dark Knight,14
Six Flags Great America,1.9,Demon,14
Six Flags Great America,9.5,Goliath,14
Six Flags Great America,6.2,Joker,14
Six Flags Great America,8.1,Maxx Force,14
Six Flags Great America,8.1,Raging Bull,14
Six Flags Great America,0.8,Sprocket Rockets,14
Six Flags Great America,7.2,Superman Ultimate Flight,14
Six Flags Great America,6.7,Vertical Velocity,14
Six Flags Great America,6.8,Viper,14
Six Flags Great America,4.8,Whizzer,14
Six Flags Great America,7.7,X-Flight,14
Kings Island,4.2,Adventure Express,14
Kings Island,5.7,Backlot Stunt Coaster,14
Kings Island,8.5,Banshee,14
Kings Island,6.7,Bat,14
Kings Island,8.3,Beast,14
Kings Island,9.1,Diamondback,14
Kings Island,6.2,Flight of Fear,14
Kings Island,1.6,Flying Ace Aerial Chase,14
Kings Island,4.1,Invertigo,14
Kings Island,9.2,Mystic Timbers,14
Kings Island,9.3,Orion,14
Kings Island,4.9,Racer (Left),14
Kings Island,4.6,Racer (Right),14
Kings Island,2.5,Woodstock Express,14
Hersheypark,8.9,Candymonium,14
Hersheypark,6,Comet,14
Hersheypark,8.3,Fahrenheit,14
Hersheypark,8.3,Great Bear,14
Hersheypark,1.9,Jolly Rancher Remix,14
Hersheypark,4.4,Laff Trakk,14
Hersheypark,7.3,Lightning Racer (Lightning),14
Hersheypark,7.3,Lightning Racer (Thunder),14
Hersheypark,9.8,Skyrush,14
Hersheypark,5.8,Sooperdooperlooper,14
Hersheypark,9.2,Storm Runner,14
Hersheypark,2.9,Trailblazer,14
Hersheypark,1.9,Wild Mouse,14
Hersheypark,4.1,Wildcat,14
Six Flags Great Adventure,7.7,Batman The Ride,13
Six Flags Great Adventure,3.6,Dark Knight,13
Six Flags Great Adventure,9.9,El Toro,13
Six Flags Great Adventure,4.3,Green Lantern,13
Six Flags Great Adventure,0.9,Harley Quinn Crazy Train,13
Six Flags Great Adventure,8.9,Jersey Devil Coaster,13
Six Flags Great Adventure,6.5,Joker,13
Six Flags Great Adventure,9.1,Kingda Ka,13
Six Flags Great Adventure,7.9,Medusa,13
Six Flags Great Adventure,9.2,Nitro,13
Six Flags Great Adventure,2.1,Runaway Mine Train,13
Six Flags Great Adventure,3.1,Skull Mountain,13
Six Flags Great Adventure,7.2,Superman Ultimate Flight,13
Carowinds,9.2,Afterburn,13
Carowinds,1.9,Carolina Cyclone,13
